Term,Occurrence (ead_ID),Field,Collection,Context,Context (extended)
Dwellings,umich-bhl-8654,subjects,"Finding aid for Charles A. Sink Papers, 1900-1996",Banks and banking.; Elections -- Michigan -- 1926.; Elections -- Michigan -- 1928.; Elections -- Michigan -- 1932.; Music -- Michigan -- Ann Arbor.; Musicians -- Michigan -- Ann Arbor.; Public schools -- Michigan -- Ann Arbor.; Roads -- Michigan.; Voyages and travels.; Aged persons -- Michigan -- Ann Arbor.; Agriculture -- Michigan.; Birthday parties -- Michigan -- Ann Arbor.; Children.; Capitols -- Michigan -- Lansing.; Dwellings -- Michigan -- Holly.; Eating and drinking.; Families.; Farms.; Funeral rites and ceremonies.; Manners & customs -- 1911-1920.; Musicians.; Ocean liners.; Passengers.; Singing -- Michigan -- Ann Arbor.; Travel.,Capitols -- Michigan -- Lansing.; Dwellings -- Michigan -- Holly.; Eating
Dwellings,umich-bhl-85710,subjects,"Finding aid for Josephine Fellows Gomon papers, 1913-1975","Depressions -- 1929 -- Michigan -- Detroit.; Women in politics -- Michigan.; World War, 1939-1945.; African Americans -- Michigan.; Banquets.; Crowds.; Dwellings -- Michigan -- Harbor Beach.; Governors -- Michigan.; Horseback riding.; Housing.; Mayors -- Michigan -- Detroit.; Political elections.; Smoking.; Women -- Political life.",Americans -- Michigan.; Banquets.; Crowds.; Dwellings -- Michigan -- Harbor Beach.;
Dwellings,umich-bhl-851917,geognames,"Finding aid for Irene Ellis Murphy papers, 1917-1984",Birmingham (Mich.); Philippines -- History -- 1898-1946.; Philippines -- History -- 1946-1986.; Harbor Beach (Mich.) -- Dwellings.; Japan.; Philippines -- History -- 1898-1946.; Philippines -- History -- 1946-1986.; Philippines -- Economic conditions -- 1946-1986.,1946-1986.; Harbor Beach (Mich.) -- Dwellings .; Japan.; Philippines -- History
Dwellings,umich-bhl-85710,geognames,"Finding aid for Josephine Fellows Gomon papers, 1913-1975",Michigan -- Politics and government -- 1929-1938.; Michigan -- Politics and government -- 1837-1950.; Detroit (Mich.) -- Mayors.; Detroit (Mich.) -- 1935.; Harbor Beach (Mich.) -- Dwellings.,1935.; Harbor Beach (Mich.) -- Dwellings .
Dwellings,umich-bhl-85824,subjects,Finding Aid for Arthur J. Lacy Papers,"Arbitration, International.; Banks and banking -- Michigan.; Civil rights -- Michigan.; Civil service.; Cold war.; Constitutional law -- United States.; Crime.; Debts, Public -- United States.; Depressions -- 1929 -- Michigan.; Elections -- Michigan -- 1932.; Elections -- Michigan -- 1934.; Immigrants -- Michigan.; Jewish-Arab relations.; Judges -- Michigan -- Detroit.; Juvenile delinquency -- Michigan.; Labor unions -- Michigan.; Lawyers -- Michigan -- Detroit.; Municipal government -- Michigan.; Oral history.; Prohibition -- Michigan.; Sit-down strikes -- Michigan.; Taxation -- Michigan.; Temperance -- Michigan.; Trusts, Industrial.; Women -- Suffrage -- United States.; Women's rights -- United States.; World War, 1914-1918.; World War, 1914-1918 -- Finance -- United States.; World War, 1939-1945.; Dwellings -- Michigan -- Detroit.; Dwellings -- Michigan -- Nirvana.; Golf.; Lumber industry.; Schools -- Michigan.; Women.","United States.; World War, 1939-1945.; Dwellings -- Michigan -- Detroit.; Dwellings"
Dwellings,umich-bhl-85824,subjects,Finding Aid for Arthur J. Lacy Papers,"Arbitration, International.; Banks and banking -- Michigan.; Civil rights -- Michigan.; Civil service.; Cold war.; Constitutional law -- United States.; Crime.; Debts, Public -- United States.; Depressions -- 1929 -- Michigan.; Elections -- Michigan -- 1932.; Elections -- Michigan -- 1934.; Immigrants -- Michigan.; Jewish-Arab relations.; Judges -- Michigan -- Detroit.; Juvenile delinquency -- Michigan.; Labor unions -- Michigan.; Lawyers -- Michigan -- Detroit.; Municipal government -- Michigan.; Oral history.; Prohibition -- Michigan.; Sit-down strikes -- Michigan.; Taxation -- Michigan.; Temperance -- Michigan.; Trusts, Industrial.; Women -- Suffrage -- United States.; Women's rights -- United States.; World War, 1914-1918.; World War, 1914-1918 -- Finance -- United States.; World War, 1939-1945.; Dwellings -- Michigan -- Detroit.; Dwellings -- Michigan -- Nirvana.; Golf.; Lumber industry.; Schools -- Michigan.; Women.",Dwellings -- Michigan -- Detroit.; Dwellings -- Michigan -- Nirvana.; Golf.;
Dwellings,umich-bhl-85824,geognames,Finding Aid for Arthur J. Lacy Papers,Clare (Mich.); Detroit (Mich.); Hawaii.; Mexico -- Frontier troubles -- 1910-; Michigan -- Emigration and immigration.; Michigan -- Politics and government -- 1837-1950.; Michigan -- Politics and government -- 1951-; Michigan -- Politics and government -- 1917-1921.; Michigan -- Politics and government -- 1922-1928.; Michigan -- Politics and government -- 1929-1938.; Michigan -- Politics and government -- 1939-1945.; Michigan -- Politics and government -- 1946-1960.; Nirvana (Mich.); Philippines -- History -- 1898-1946.; Wayne County (Mich.); Detroit (Mich.) -- Dwellings.; Foxville (Mich.); Nirvana (Mich.) -- Dwellings.,County (Mich.); Detroit (Mich.) -- Dwellings .; Foxville (Mich.); Nirvana (Mich.)
Dwellings,umich-bhl-85824,geognames,Finding Aid for Arthur J. Lacy Papers,Clare (Mich.); Detroit (Mich.); Hawaii.; Mexico -- Frontier troubles -- 1910-; Michigan -- Emigration and immigration.; Michigan -- Politics and government -- 1837-1950.; Michigan -- Politics and government -- 1951-; Michigan -- Politics and government -- 1917-1921.; Michigan -- Politics and government -- 1922-1928.; Michigan -- Politics and government -- 1929-1938.; Michigan -- Politics and government -- 1939-1945.; Michigan -- Politics and government -- 1946-1960.; Nirvana (Mich.); Philippines -- History -- 1898-1946.; Wayne County (Mich.); Detroit (Mich.) -- Dwellings.; Foxville (Mich.); Nirvana (Mich.) -- Dwellings.,Foxville (Mich.); Nirvana (Mich.) -- Dwellings .
Dwellings,umich-bhl-8632,geognames,Finding Aid for Wilfred B. Shaw Papers,"Adrian (Mich.); Ann Arbor (Mich.); Adrian (Mich.); Adrian (Mich.) -- Dwellings.; Adrian (Mich.) -- Schools.; Ann Arbor (Mich.) -- Buildings.; Huron River (Oakland County-Monroe County, Mich.)",Adrian (Mich.); Adrian (Mich.) -- Dwellings .; Adrian (Mich.) -- Schools.;
Dwellings,umich-bhl-8632,subjects,Finding Aid for Wilfred B. Shaw Papers,Art.; Artists.; Michigan alumnus quarterly review.; Boats.; Buildings -- Michigan -- Ann Arbor.; Churches.; Dwellings -- Michigan -- Adrian.; Football.; Fraternities and sororities.; Music ensembles.; Parades and processions.; Printmaking.; Schools -- Michigan -- Adrian.; Wrinkle.; Greek letter societies -- Michigan -- Ann Arbor.; Women -- Michigan -- Ann Arbor -- Societies and clubs.; Women college students -- Michigan -- Ann Arbor.,Michigan -- Ann Arbor.; Churches.; Dwellings -- Michigan -- Adrian.; Football.;
Dwellings,umich-bhl-85884,subjects,Finding Aid for Junius E. Beal Papers,"African Americans.; Conservation of natural resources -- Michigan.; Cycling.; Elections -- Michigan -- 1894.; Elections -- Michigan -- 1896.; Elections -- Michigan -- 1904.; Elections -- Michigan -- 1908.; Elections -- Michigan -- 1910.; Elections -- Michigan -- 1912.; Elections -- Michigan -- 1914.; Elections -- Michigan -- 1916.; Elections -- Michigan -- 1918.; Elections -- Michigan -- 1920.; Elections -- Michigan -- 1922.; Elections -- Michigan -- 1924.; Elections -- Michigan -- 1926.; Elections -- Michigan -- 1928.; Elections -- Michigan -- 1930.; Elections -- Michigan -- 1932.; Elections -- Michigan -- 1934.; Elections -- Michigan -- 1936.; Street-railroads -- Michigan.; Temperance -- Michigan.; World War, 1914-1918.; Bicycles and tricycles.; Cemeteries -- Michigan -- Ann Arbor.; Cycling -- Michigan -- Ann Arbor.; Dwellings -- Michigan -- Ann Arbor.; Forestry.; Lumber industry.; Streets -- Michigan -- Ann Arbor.",-- Michigan -- Ann Arbor.; Dwellings -- Michigan -- Ann Arbor.;
Dwellings,umich-bhl-85884,geognames,Finding Aid for Junius E. Beal Papers,Ann Arbor (Mich.); Belgium.; Hawaii.; Michigan -- Politics and government -- 1837-1950.; Michigan -- Politics and government -- 1877-1898.; Michigan -- Politics and government -- 1899-1916.; Michigan -- Politics and government -- 1917-1921.; Michigan -- Politics and government -- 1922-1928.; Michigan -- Politics and government -- 1929-1938.; Philippines -- History -- 1898-1946.; Ann Arbor (Mich.) -- Dwellings.; Ann Arbor (Mich.) -- Streets.,1898-1946.; Ann Arbor (Mich.) -- Dwellings .; Ann Arbor (Mich.) --
Dwellings,umich-bhl-86440,subjects,"Finding aid for Wright family papers, 1825-1938",Agriculture.; Ships -- Great Lakes (North America); Women -- Michigan -- Detroit.; Boats.; Clothing and dress -- 1901-1910.; Dwellings.; Interiors.; Men -- Clothing and dress -- 1921-1930.; Offices.; Women.,Clothing and dress -- 1901-1910.; Dwellings .; Interiors.; Men -- Clothing
Dwellings,umich-bhl-851917,subjects,"Finding aid for Irene Ellis Murphy papers, 1917-1984",Businesswomen -- Michigan.; Automobiles -- 1941-1950.; Children.; Children playing.; Children's parties.; Dwellings.; Dwellings -- Michigan -- Harbor Beach.; Families.; Funeral rites and ceremonies.; Horseback riding.; Interiors.; Recreation.; Soldiers -- American -- Philippines.; Travel.; Weaving.; Women.,Children playing.; Children's parties.; Dwellings.; Dwellings -- Michigan -- Harbor Beach.;
Dwellings,umich-bhl-86549,geognames,Finding Aid for Chase S. Osborn Papers,"Madagascar.; Michigan -- Politics and government -- 1877-1898.; Michigan -- Politics and government -- 1899-1916.; Michigan -- Politics and government -- 1917-1921.; Michigan -- Politics and government -- 1922-1928.; Michigan -- Politics and government -- 1929-1938.; Michigan -- Politics and government -- 1939-1945.; Michigan -- Politics and government -- 1946-1960.; Sault Sainte Marie (Mich.); United States -- Politics and government -- 1865-1933.; United States -- Politics and government -- 1933-1945.; Upper Peninsula (Mich.); Burma.; Duck Island (Chippewa County, Mich.); Isle Royale (Mich.); Newberry (Mich.); Offices.; Pictured Rocks (Mich.); Ramsay (Mich.); Sault Sainte Marie (Mich.); Sault Sainte Marie (Mich.) -- Dwellings.; Tahquamenon River (Mich.); United States -- History -- Civil War, 1861-1865.",Sault Sainte Marie (Mich.) -- Dwellings .; Tahquamenon River (Mich.); United
Dwellings,umich-bhl-8674,subjects,"Finding aid for George Owen Squier Papers, 1883-1934",Inventions.; Physicists -- United States.; Radio.; Scientists -- United States.; Voyages and travels.; Boats.; Camps.; Communication devices -- 1921-1930.; Dwellings.; Inventions.; Parks -- Michigan -- Dryden.; Soldiers -- American.,Camps.; Communication devices -- 1921-1930.; Dwellings .; Inventions.; Parks -- Michigan
Dwellings,umich-bhl-9436,subjects,"Finding Aid for Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","Freemasonry -- Michigan.; Postage-stamps.; Presidents -- United States -- Election -- 1908.; Presidents -- United States -- Election -- 1912.; Tariff -- United States.; World War, 1914-1918.; Spanish-American War, 1898.; Dwellings -- Michigan -- Constantine.; Military officers.; Military art and science.; World War, 1914-1918 -- France.","War, 1914-1918.; Spanish-American War, 1898.; Dwellings -- Michigan -- Constantine.; Military"
Dwellings,umich-bhl-8516,subjects,Finding Aid for Robert D. Aldrich Collection,"Antislavery movements -- United States.; Arts -- Michigan -- Concord -- Societies, etc.; Banks and banking -- Michigan -- Concord.; Business records.; Fire departments -- Michigan -- Concord.; Freemasonry -- Michigan -- Concord.; General stores -- Michigan -- Concord.; Railroads -- Michigan -- Concord.; Schools -- Michigan -- Concord.; Women -- Michigan -- Concord -- Societies and clubs.; Agricultural equipment.; Automobile service stations -- Michigan -- Concord.; Bands.; Bars.; Baseball.; Basketball.; Blacksmithing.; Business enterprises -- Michigan -- Concord.; Camping.; Canoes.; Carriages and coaches.; Centennial celebrations.; Children.; Churches -- Michigan -- Concord.; City & town life -- China.; Courtship.; Dwellings -- Michigan -- Concord.; Farming.; Fires.; Football.; Freemasonry.; Hearses.; Hunting -- Michigan.; Laborers.; Lumber industry.; Mills -- Michigan -- Concord.; Parades and processions.; People with disabilities.; Picnics.; Railroad accidents.; Railroad stations -- Michigan -- Concord.; Railroads -- Michigan -- Concord.; Schools -- Michigan -- Concord.; Soldiers -- American.; Streets -- Michigan -- Concord.; Underground railroad system.; Women.",town life -- China.; Courtship.; Dwellings -- Michigan -- Concord.; Farming.;
Dwellings,umich-bhl-8516,geognames,Finding Aid for Robert D. Aldrich Collection,"Concord (Mich.); Concord (Mich.) -- History.; Horton (Mich.); Jackson County (Mich.); Michigan -- Social life and customs -- 1831-1840.; Michigan -- Social life and customs -- 1841-1850.; Michigan -- Social life and customs -- 1851-1860.; Michigan -- Social life and customs -- 1861-1870.; Michigan -- Social life and customs -- 1871-1880.; Michigan -- Social life and customs -- 1881-1890.; Michigan -- Social life and customs -- 1891-1900.; Colon (Mich.); Concord (Mich.) -- Business enterprises.; Concord (Mich.) -- Churches.; Concord (Mich.) -- Dwellings.; Concord (Mich.) -- Panoramic views.; Concord (Mich.) -- Schools.; Concord (Mich.) -- Streets.; Fort Custer (Mich.); Mussey (Mich.); Spring Arbor (Mich.); Swains Lake (Mich.); United States -- History -- Civil War, 1861-1865.",-- Churches.; Concord (Mich.) -- Dwellings .; Concord (Mich.) -- Panoramic
Dwellings,umich-bhl-90180,subjects,Finding Aid for Theodore H. Hubbell Papers,"Agriculture -- United States.; Entomology.; Women -- Michigan -- Ann Arbor.; Dwellings.; World War, 1914-1918.","-- Michigan -- Ann Arbor.; Dwellings .; World War, 1914-1918."
Dwellings,umich-bhl-851733,subjects,Finding Aid for Harry Burns Hutchins papers,"Afro-Americans -- Michigan.; Conservation of natural resources -- Michigan.; Elections -- Michigan -- 1912.; Elections -- Michigan -- 1914.; Indians of North America -- Michigan.; Jews -- Michigan.; Presidents -- United States -- Election -- 1912.; Prohibition -- Michigan.; Radicalism -- Michigan -- Ann Arbor.; Temperance -- Michigan.; Women -- Suffrage -- United States.; Spanish-American War, 1898.; Greek letter societies -- Michigan -- Ann Arbor.; Students, Foreign -- Michigan -- Ann Arbor.; Hazing -- Michigan -- Ann Arbor.; World War, 1914-1918 -- Education and the war.; World War, 1914-1918 -- Michigan -- Ann Arbor.; Immigrants -- United States.; Dwellings -- Michigan -- Ann Arbor.; Dwellings -- New Hampshire.; Streets -- Michigan -- Ann Arbor.; Women's resources -- biographical information in finding aid.",Arbor.; Immigrants -- United States.; Dwellings -- Michigan -- Ann Arbor.;
Dwellings,umich-bhl-851917,subjects,"Finding aid for Irene Ellis Murphy papers, 1917-1984",Businesswomen -- Michigan.; Automobiles -- 1941-1950.; Children.; Children playing.; Children's parties.; Dwellings.; Dwellings -- Michigan -- Harbor Beach.; Families.; Funeral rites and ceremonies.; Horseback riding.; Interiors.; Recreation.; Soldiers -- American -- Philippines.; Travel.; Weaving.; Women.,Children.; Children playing.; Children's parties.; Dwellings .; Dwellings -- Michigan --
Dwellings,umich-bhl-851733,subjects,Finding Aid for Harry Burns Hutchins papers,"Afro-Americans -- Michigan.; Conservation of natural resources -- Michigan.; Elections -- Michigan -- 1912.; Elections -- Michigan -- 1914.; Indians of North America -- Michigan.; Jews -- Michigan.; Presidents -- United States -- Election -- 1912.; Prohibition -- Michigan.; Radicalism -- Michigan -- Ann Arbor.; Temperance -- Michigan.; Women -- Suffrage -- United States.; Spanish-American War, 1898.; Greek letter societies -- Michigan -- Ann Arbor.; Students, Foreign -- Michigan -- Ann Arbor.; Hazing -- Michigan -- Ann Arbor.; World War, 1914-1918 -- Education and the war.; World War, 1914-1918 -- Michigan -- Ann Arbor.; Immigrants -- United States.; Dwellings -- Michigan -- Ann Arbor.; Dwellings -- New Hampshire.; Streets -- Michigan -- Ann Arbor.; Women's resources -- biographical information in finding aid.",-- Michigan -- Ann Arbor.; Dwellings -- New Hampshire.; Streets --
Dwellings,umich-bhl-851733,geognames,Finding Aid for Harry Burns Hutchins papers,"United States -- Emigration and immigration.; Hillsdale (Mich.); Philippines -- History -- 1898-1946.; Ann Arbor (Mich.) -- Dwellings.; Ann Arbor (Mich.) -- Streets.; Camp Davis (University of Michigan); Monroe Street (Ann Arbor, Mich.); New Hampshire -- Dwellings.",1898-1946.; Ann Arbor (Mich.) -- Dwellings .; Ann Arbor (Mich.) --
Dwellings,umich-bhl-851733,geognames,Finding Aid for Harry Burns Hutchins papers,"United States -- Emigration and immigration.; Hillsdale (Mich.); Philippines -- History -- 1898-1946.; Ann Arbor (Mich.) -- Dwellings.; Ann Arbor (Mich.) -- Streets.; Camp Davis (University of Michigan); Monroe Street (Ann Arbor, Mich.); New Hampshire -- Dwellings.","Arbor, Mich.); New Hampshire -- Dwellings ."
Executions,umich-bhl-2011132,subjects,"Finding aid for Richard Schneidewind papers, 1899-1914","Agricultural exhibitions.; Amusement parks.; Boats.; Caricatures and cartoons.; Circuses & shows.; Convalescent hospitals -- Philippines.; Ethnic stereotypes.; Ethnographic photographs.; Executions -- Philippines.; Exhibitions.; Fairs.; Human curiosities.; Igorot (Philippine people); Leprosy -- Philippines.; Midways.; Military hospitals, American -- Philippines.; Military hospitals -- Philippines.; Ships.; Sideshows.; Soldiers.",Philippines.; Ethnic stereotypes.; Ethnographic photographs.; Executions -- Philippines.; Exhibitions.; Fairs.; Human
Hanging,umich-bhl-85517,bioghist,"Finding aid for Stanley M. Swinton papers, 1935-1985",Among his most famous stories is an eyewitness account of Fascist dictator Benito Mussolini hanging by his heels in a Milan square.,of Fascist dictator Benito Mussolini Hanging by his heels in a
Hygiene,umich-bhl-85899,corpnames,Finding Aid for Marion L. Burton Papers,Clements Library.; American Association for International Cooperation.; American Birth Control League.; American Council on Education.; American Social Hygiene Association.; Anti-Saloon League of America.; International Anti-Narcotic League.; International Narcotic Education Association.; National Association for the Advancement of Colored People.; National Council for Prevention of War (U.S.); National Movement for Law Enforcement.; Non-Partisan Association for the League of Nations.,Council on Education.; American Social Hygiene Association.; Anti-Saloon League of America.;
Hygiene,umich-bhl-89211,bioghist,"Finding aid for Myron E. Wegman Papers, 1939-2004","He was educated at the City College of New York (BA 1928), Yale University (MD 1932), and Johns Hopkins University (MPH, 1938).;  His career began in 1936 with the Maryland State Health Department, Bureau of Child Hygiene.","Health Department, Bureau of Child Hygiene ."
Hygiene,umich-bhl-85899,bioghist,Finding Aid for Marion L. Burton Papers,A growing public awareness of the desirability of teaching health and hygiene in the public schools led to the development of the Department of Physical Education in the School of Education.,desirability of teaching health and Hygiene in the public schools led
Hygiene,umich-bhl-2014031,subjects,"Finding aid for Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","African-American churches -- Michigan -- Detroit.; Immigrants -- Health and hygiene -- Florida.; Immigrants -- Health and hygiene -- Michigan.; Immigrants -- Health and hygiene -- Ohio.; Immigrants -- Health and hygiene -- Texas.; Immigrants -- Health and hygiene -- United States.; Immigrants -- Michigan.; Indians of North America -- Great Lakes (North America); Indians of North America -- Michigan.; Indians of North America -- Periodicals.; Iraqis -- Michigan -- Detroit.; Islam -- Michigan.; Islamic education -- Michigan.; Islamophobia -- Michigan.; Islamophobia -- United States.; Italian Americans -- Michigan -- Lansing.; Lebanese Americans -- Michigan.; Lebanese Americans -- Michigan -- Detroit.; Lebanese Americans -- Social life and customs -- Michigan -- Detroit.; Minorities -- Civil rights -- Michigan.; Minorities -- Civil rights -- United States.; Minorities -- Michigan.; Monasteries -- Michigan -- Harper Woods.; Mosques -- Michigan.; Mosques as community centers -- Michigan.; Muslims -- Civil rights -- Michigan.; Muslims -- Civil rights -- United States.; Muslims -- India.; Muslims -- Michigan.; Muslims -- Michigan -- Periodicals.; Muslims -- Religious life -- Michigan.; Ojibwa Indians -- Michigan.; Ojibwa Indians -- Michigan -- Fishing -- Law and legislation.; Ojibwa Indians -- Michigan -- Legal status, laws, etc.; Ojibwa Indians -- Michigan -- Treaties.; Orientalism -- United States.; Orthodox Eastern monasteries -- Michigan -- Harper Woods.; Ottawa Indians -- Michigan -- Fishing -- Law and legislation.; Ottawa Indians -- Michigan -- Legal status, laws, etc.; Ottawa Indians -- Michigan -- Treaties.; Pacific Islander Americans -- Michigan.; Palestinian Americans -- Michigan.; Polish Americans -- Michigan -- Detroit.; Politics and public policy.; Popular music -- United States.; Potawatomi Indians -- Great Lakes Region (North America); Potawatomi Indians -- Middle West.; Race relations -- Economic aspects -- Michigan -- Detroit.; Racism -- United States.; Religion.; Russian Americans -- Michigan.; Russian Americans -- Michigan -- Directories.; Russkaia pravoslavnaia tserkov' zagranitsei­.; Sermons, American.",Ohio.; Immigrants -- Health and Hygiene -- Texas.; Immigrants -- Health
Hygiene,umich-bhl-2014031,subjects,"Finding aid for Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","African-American churches -- Michigan -- Detroit.; Immigrants -- Health and hygiene -- Florida.; Immigrants -- Health and hygiene -- Michigan.; Immigrants -- Health and hygiene -- Ohio.; Immigrants -- Health and hygiene -- Texas.; Immigrants -- Health and hygiene -- United States.; Immigrants -- Michigan.; Indians of North America -- Great Lakes (North America); Indians of North America -- Michigan.; Indians of North America -- Periodicals.; Iraqis -- Michigan -- Detroit.; Islam -- Michigan.; Islamic education -- Michigan.; Islamophobia -- Michigan.; Islamophobia -- United States.; Italian Americans -- Michigan -- Lansing.; Lebanese Americans -- Michigan.; Lebanese Americans -- Michigan -- Detroit.; Lebanese Americans -- Social life and customs -- Michigan -- Detroit.; Minorities -- Civil rights -- Michigan.; Minorities -- Civil rights -- United States.; Minorities -- Michigan.; Monasteries -- Michigan -- Harper Woods.; Mosques -- Michigan.; Mosques as community centers -- Michigan.; Muslims -- Civil rights -- Michigan.; Muslims -- Civil rights -- United States.; Muslims -- India.; Muslims -- Michigan.; Muslims -- Michigan -- Periodicals.; Muslims -- Religious life -- Michigan.; Ojibwa Indians -- Michigan.; Ojibwa Indians -- Michigan -- Fishing -- Law and legislation.; Ojibwa Indians -- Michigan -- Legal status, laws, etc.; Ojibwa Indians -- Michigan -- Treaties.; Orientalism -- United States.; Orthodox Eastern monasteries -- Michigan -- Harper Woods.; Ottawa Indians -- Michigan -- Fishing -- Law and legislation.; Ottawa Indians -- Michigan -- Legal status, laws, etc.; Ottawa Indians -- Michigan -- Treaties.; Pacific Islander Americans -- Michigan.; Palestinian Americans -- Michigan.; Polish Americans -- Michigan -- Detroit.; Politics and public policy.; Popular music -- United States.; Potawatomi Indians -- Great Lakes Region (North America); Potawatomi Indians -- Middle West.; Race relations -- Economic aspects -- Michigan -- Detroit.; Racism -- United States.; Religion.; Russian Americans -- Michigan.; Russian Americans -- Michigan -- Directories.; Russkaia pravoslavnaia tserkov' zagranitsei­.; Sermons, American.",Texas.; Immigrants -- Health and Hygiene -- United States.; Immigrants --
Hygiene,umich-bhl-2014031,subjects,"Finding aid for Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","African-American churches -- Michigan -- Detroit.; Immigrants -- Health and hygiene -- Florida.; Immigrants -- Health and hygiene -- Michigan.; Immigrants -- Health and hygiene -- Ohio.; Immigrants -- Health and hygiene -- Texas.; Immigrants -- Health and hygiene -- United States.; Immigrants -- Michigan.; Indians of North America -- Great Lakes (North America); Indians of North America -- Michigan.; Indians of North America -- Periodicals.; Iraqis -- Michigan -- Detroit.; Islam -- Michigan.; Islamic education -- Michigan.; Islamophobia -- Michigan.; Islamophobia -- United States.; Italian Americans -- Michigan -- Lansing.; Lebanese Americans -- Michigan.; Lebanese Americans -- Michigan -- Detroit.; Lebanese Americans -- Social life and customs -- Michigan -- Detroit.; Minorities -- Civil rights -- Michigan.; Minorities -- Civil rights -- United States.; Minorities -- Michigan.; Monasteries -- Michigan -- Harper Woods.; Mosques -- Michigan.; Mosques as community centers -- Michigan.; Muslims -- Civil rights -- Michigan.; Muslims -- Civil rights -- United States.; Muslims -- India.; Muslims -- Michigan.; Muslims -- Michigan -- Periodicals.; Muslims -- Religious life -- Michigan.; Ojibwa Indians -- Michigan.; Ojibwa Indians -- Michigan -- Fishing -- Law and legislation.; Ojibwa Indians -- Michigan -- Legal status, laws, etc.; Ojibwa Indians -- Michigan -- Treaties.; Orientalism -- United States.; Orthodox Eastern monasteries -- Michigan -- Harper Woods.; Ottawa Indians -- Michigan -- Fishing -- Law and legislation.; Ottawa Indians -- Michigan -- Legal status, laws, etc.; Ottawa Indians -- Michigan -- Treaties.; Pacific Islander Americans -- Michigan.; Palestinian Americans -- Michigan.; Polish Americans -- Michigan -- Detroit.; Politics and public policy.; Popular music -- United States.; Potawatomi Indians -- Great Lakes Region (North America); Potawatomi Indians -- Middle West.; Race relations -- Economic aspects -- Michigan -- Detroit.; Racism -- United States.; Religion.; Russian Americans -- Michigan.; Russian Americans -- Michigan -- Directories.; Russkaia pravoslavnaia tserkov' zagranitsei­.; Sermons, American.",Michigan.; Immigrants -- Health and Hygiene -- Ohio.; Immigrants -- Health
Hygiene,umich-bhl-2014031,subjects,"Finding aid for Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","African-American churches -- Michigan -- Detroit.; Immigrants -- Health and hygiene -- Florida.; Immigrants -- Health and hygiene -- Michigan.; Immigrants -- Health and hygiene -- Ohio.; Immigrants -- Health and hygiene -- Texas.; Immigrants -- Health and hygiene -- United States.; Immigrants -- Michigan.; Indians of North America -- Great Lakes (North America); Indians of North America -- Michigan.; Indians of North America -- Periodicals.; Iraqis -- Michigan -- Detroit.; Islam -- Michigan.; Islamic education -- Michigan.; Islamophobia -- Michigan.; Islamophobia -- United States.; Italian Americans -- Michigan -- Lansing.; Lebanese Americans -- Michigan.; Lebanese Americans -- Michigan -- Detroit.; Lebanese Americans -- Social life and customs -- Michigan -- Detroit.; Minorities -- Civil rights -- Michigan.; Minorities -- Civil rights -- United States.; Minorities -- Michigan.; Monasteries -- Michigan -- Harper Woods.; Mosques -- Michigan.; Mosques as community centers -- Michigan.; Muslims -- Civil rights -- Michigan.; Muslims -- Civil rights -- United States.; Muslims -- India.; Muslims -- Michigan.; Muslims -- Michigan -- Periodicals.; Muslims -- Religious life -- Michigan.; Ojibwa Indians -- Michigan.; Ojibwa Indians -- Michigan -- Fishing -- Law and legislation.; Ojibwa Indians -- Michigan -- Legal status, laws, etc.; Ojibwa Indians -- Michigan -- Treaties.; Orientalism -- United States.; Orthodox Eastern monasteries -- Michigan -- Harper Woods.; Ottawa Indians -- Michigan -- Fishing -- Law and legislation.; Ottawa Indians -- Michigan -- Legal status, laws, etc.; Ottawa Indians -- Michigan -- Treaties.; Pacific Islander Americans -- Michigan.; Palestinian Americans -- Michigan.; Polish Americans -- Michigan -- Detroit.; Politics and public policy.; Popular music -- United States.; Potawatomi Indians -- Great Lakes Region (North America); Potawatomi Indians -- Middle West.; Race relations -- Economic aspects -- Michigan -- Detroit.; Racism -- United States.; Religion.; Russian Americans -- Michigan.; Russian Americans -- Michigan -- Directories.; Russkaia pravoslavnaia tserkov' zagranitsei­.; Sermons, American.",Florida.; Immigrants -- Health and Hygiene -- Michigan.; Immigrants -- Health
